He does not need protection.

Он не нуждается в защите.

It doesn't mean anything.

Это не значит ничего.

He doesn't expect anything.

Он не ожидает ничего.

It doesn't prove anything.

Это не доказывает ничего.

He doesn't know anything.

Он не знает ничего.

It doesn't change anything.

Это не меняет ничего.

He doesn't say anything.

Он не говорит ничего.

I do not think so.

Я не думаю так.

We don't know yet.

Мы не знаем еще.

You don't live here.

Вы не живете здесь.

We don't think so.

Мы не считаем так.

I don't know much.

Я не знаю многого.

I don't understand it.

Я не понимаю этого.

I don't trust him.

Я не доверяю ему.

I don't understand you.

Я не понимаю тебя.

I don't see it.

Я не вижу этого.

They do not recognize him.

Они не узнают его.

I don't want it.

Я не хочу этого.

You don't answer me.

Ты не отвечаешь мне.

You don't trust me.

Ты не доверяешь мне.

You don't mean it.

Вы не имеете в виду это.

I don't know you!

Я не знаю вас!

I don't know it!

Я не знаю этого!

We don't have it.

У нас нет этого.

They don't believe me.

Они не верят мне.

I don't believe her.

Я не верю ей.

I don't remember it

Я не помню этого.

I don't see her.

Я не вижу ее.

You don't need her.

Вы не нуждаетесь в ней.

I don't hate her.

Я не ненавижу её.

You don't like it.

Вам не нравится это.

I don't accept it.

Я не принимаю этого.

I don't blame her.

Я не виню её.

I don't understand him.

Я не понимаю его.

I do not want it.

Я не хочу этого.

You don't remember me.

Ты не помнишь меня.

I don't love him.

Я не люблю его.

We don't use it.

Мы не пользуемся этим.

They don't like it.

Им не нравится это.

You don't know her.

Вы не знаете её.
